latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
42.1256,-76.3637,2019,3.262962963,73.46502058,243,37.87333333
42.1256,-76.3637,2020,3.85,72.57786885,244,38.93
42.1256,-76.3637,2021,4.175720165,72.26337449,243,39.5162963
42.1256,-76.3637,2022,4.273251029,71.90946502,243,39.69185185
42.1256,-76.3637,2023,4.911111111,70.73662551,243,40.84
42.1256,-76.3637,2024,5.549180328,73.43032787,244,41.98852459
42.1256,-76.3637,2025,3.767489712,73.44444444,243,38.78148148
42.1256,-76.3637,2026,-0.210967742,74.07096774,155,31.62025806
42.1552807,-76.7471788,2010,3.571193416,73.37860082,243,38.42814815
42.1552807,-76.7471788,2011,1.964609053,75.66666667,243,35.5362963
42.1552807,-76.7471788,2012,5.314344262,71.68852459,244,41.56581967
42.1552807,-76.7471788,2013,3.039917695,72.781893,243,37.47185185
42.1552807,-76.7471788,2014,1.226748971,71.16460905,243,34.20814815
42.1552807,-76.7471788,2015,1.573662551,70.95061728,243,34.83259259
42.1552807,-76.7471788,2016,4.471721311,70.46721311,244,40.04909836
42.1552807,-76.7471788,2017,4.411522634,73.16460905,243,39.94074074
42.1552807,-76.7471788,2018,3.381893004,70.83127572,243,38.08740741
42.1552807,-76.7471788,2019,3.177777778,73.27160494,243,37.72
42.1552807,-76.7471788,2020,3.854508197,72.28688525,244,38.93811475
42.1552807,-76.7471788,2021,4.169135802,71.82716049,243,39.50444444
42.1552807,-76.7471788,2022,4.257201646,71.56790123,243,39.66296296
42.1552807,-76.7471788,2023,4.814403292,70.59259259,243,40.66592593
42.1552807,-76.7471788,2024,5.49057377,73.5204918,244,41.88303279
42.1552807,-76.7471788,2025,3.781481481,72.83539095,243,38.80666667
42.1552807,-76.7471788,2026,-0.202580645,73.46451613,155,31.63535484
42.1619773,-75.830291,2010,4.403703704,73.781893,243,39.92666667
42.1619773,-75.830291,2011,2.926748971,75.48971193,243,37.26814815
42.1619773,-75.830291,2012,6.106967213,71.79098361,244,42.99254098
42.1619773,-75.830291,2013,3.820987654,73.05349794,243,38.87777778
42.1619773,-75.830291,2014,2.074897119,71.55967078,243,35.73481481
42.1619773,-75.830291,2015,2.395061728,70.99588477,243,36.31111111
42.1619773,-75.830291,2016,5.409016393,70.08606557,244,41.73622951
42.1619773,-75.830291,2017,4.349794239,74.12345679,243,39.82962963
42.1619773,-75.830291,2018,3.043209877,72.81893004,243,37.47777778
42.1619773,-75.830291,2019,2.969547325,74.19341564,243,37.34518519
42.1619773,-75.830291,2020,3.600819672,72.72540984,244,38.48147541
42.1619773,-75.830291,2021,3.887242798,72.69958848,243,38.99703704
42.1619773,-75.830291,2022,3.951851852,72.65432099,243,39.11333333
